Timestamp,Where is your team's mission control center? (At which institution are you a student?),"Rate your skill at fishing, from 1-5 (1= low, 5=high)",Can you swim?,"Rate your tolerance of cold, from 1-5 (1=low, 5=high)",Do you get along with animals?,"Rate how you feel about being on a remote location with 30 other people, from 1-5 (1=skeptical, 5=great!).",What color do you want your parka?,What animal should be on our team flag?,How far would you be traveling from your home of origin (however defined) to Antarctica?  Write your answer in numerical form.,"Rate the quality of your bedside manner when taking care of sick people, from 1-5 (1= low, 5=high)","Rate your skill at cooking, from 1-5 (1= low, 5=high)",What is your ideal room temperature (in F),How far would you be traveling from your home of origin (however defined) to Antarctica?  Write you answer in number form. [Goal here is to create data for a continuous variable. We can be vague about units and then have that be a point of discussion when reviewing the spreadsheet. 
8/30/22 16:10,University of Arizona,4,Yes,3,Yes,4,Orange,Sea Spider (Pycnogonida - google it),8900 mi ,3,4,,
8/30/22 16:10,University of Arizona,4,Yes,3,Yes,5,Orange,Seal,"9,285 mi",1,4,,
8/30/22 16:10,University of Arizona,4,Yes,4,Yes,5,White,Penguin,8625 miles,1,3,,
8/30/22 16:10,University of Arizona,2,I can dog paddle,5,Yes,4,Blue,Penguin,9622,4,3,,
8/30/22 16:10,University of Arizona,1,Yes,4,Yes,3,Black,Penguin,2000 miles < Distance traveled,5,5,,
8/30/22 16:10,University of Arizona,2,Yes,3,Yes,3,Blue,Penguin,9439,4,3,,
8/30/22 16:11,University of Arizona,2,Yes,3,Yes,2,"Pink, if possible",Bear,"9,413 mi",4,3,,
8/30/22 16:11,University of Arizona,3,Yes,5,Yes,5,green,Sea Spider (Pycnogonida - google it),8624 miles,5,4,,
8/30/22 16:12,University of Arizona,2,Yes,2,Yes,4,Black,Bear,5000 miles (I think),2,4,,
8/30/22 16:13,University of Arizona,1,Yes,3,Yes,3,Black,Penguin,8747 miles,4,5,,
8/30/22 16:39,University of Arizona,2,No,1,Yes,4,White,,"8,800 miles",4,5,,
8/31/22 13:04,University of Arizona,2,Yes,4,Maybe,5,Black,Penguin,"9,450 miles",5,3,,
8/31/22 15:24,Lewis & Clark College,2,Yes,4,Yes,1,White,Sea Spider (Pycnogonida - google it),"9,165 mi",3,4,,
8/31/22 15:33,Lewis & Clark College,1,Yes,3,Maybe,4,Blue,Penguin,"9,084 mi",3,3,,
8/31/22 15:46,Lewis & Clark College,5,Yes,5,Yes,5,Green,Bear,"9,739 miles",4,3,,
8/31/22 16:00,Lewis & Clark College,2,Yes,4,Yes,4,Blue,Seal,"9,839 miles",3,4,,
8/31/22 16:33,Lewis & Clark College,3,Yes,4,Yes,5,Black,Penguin,12524 km,2,4,,
8/31/22 17:01,Lewis & Clark College,1,Yes,3,Yes,2,Blue,Penguin,"9,577 mi",4,3,,
8/31/22 17:01,Lewis & Clark College,4,Yes,5,Yes,5,White,Sea Spider (Pycnogonida - google it),"8,864 miles",5,4,,
8/31/22 17:03,Lewis & Clark College,5,Yes,5,Yes,5,Blue,Bear,"15,162km",5,1,,
8/31/22 17:04,Lewis & Clark College,2,Yes,4,Yes,4,Green,Penguin,"9,629 miles",3,4,,
8/31/22 17:05,Lewis & Clark College,2,Yes,2,Yes,3,Blue,Seal,"9,432 miles",4,3,,
8/31/22 17:06,Lewis & Clark College,2,Yes,3,Yes,4,Black,Penguin,"8,638 miles",4,4,,
8/31/22 17:20,Lewis & Clark College,1,I can dog paddle,4,Yes,2,Blue,Penguin,"9,432 mi",4,1,,
8/31/22 17:24,Lewis & Clark College,1,Yes,2,Yes,2,Blue,Seal,"8,774 miles",3,4,,
8/31/22 17:35,Lewis & Clark College,1,Yes,5,Yes,2,Black,Penguin,"8,864 mi",3,2,,
8/31/22 17:47,Lewis & Clark College,1,Yes,4,Yes,3,Blue,Seal,"9,432 miles",2,3,,
8/31/22 18:23,Lewis & Clark College,2,Yes,3,Yes,2,Black,Bear,8925,2,2,,
8/31/22 18:48,Lewis & Clark College,3,Yes,4,Yes,4,Blue,Penguin,Unsure,5,4,,
8/31/22 18:57,Lewis & Clark College,1,Yes,3,Maybe,3,Orange,Bear,"9,739 mi",4,2,,
8/31/22 19:04,Lewis & Clark College,1,Yes,4,Yes,2,Orange,Penguin,"8,963",4,2,,
8/31/22 19:10,Lewis & Clark College,2,Yes,4,Yes,4,Blue,Bear,1000 miles ,3,2,,
8/31/22 19:15,Lewis & Clark College,1,Yes,3,Yes,4,Orange,Penguin,7493 miles,4,4,,
8/31/22 19:16,Lewis & Clark College,3,Yes,4,Yes,2,Black,Penguin,"9,628 miles",3,4,,
8/31/22 19:23,Lewis & Clark College,1,I can dog paddle,4,No,2,Black,Penguin,2,3,1,,
8/31/22 19:29,Lewis & Clark College,1,Yes,3,Yes,2,Pink,Bear,"9,859 miles",3,5,,
8/31/22 19:42,Lewis & Clark College,1,Yes,3,Yes,4,Baby Pink,Penguin,"over 9,000 miles",4,3,,
8/31/22 19:44,Lewis & Clark College,1,Yes,5,Yes,3,Blue,Penguin,9455 miles,4,3,,
8/31/22 20:07,Lewis & Clark College,2,Yes,4,Yes,2,Lavender/purple,Penguin,"9,647 miles",5,4,,
8/31/22 20:33,Lewis & Clark College,2,Yes,3,Yes,2,White,Penguin,"9,405 miles",1,2,,
8/31/22 20:43,Lewis & Clark College,5,Yes,3,Yes,4,Black,Bear,"8,701 miles ",4,4,,
8/31/22 20:59,Lewis & Clark College,3,Yes,3,Yes,2,Black,Penguin,"8,800 miles",4,2,,
8/31/22 21:16,Lewis & Clark College,1,Yes,4,Yes,3,Blue,Penguin,9684mi,3,3,,
8/31/22 21:40,Lewis & Clark College,1,Yes,3,Yes,4,Black,Sea Spider (Pycnogonida - google it),"9,427 mi",5,3,,
8/31/22 21:46,Lewis & Clark College,1,Yes,3,Yes,3,Orange,Bear,"9,432 miles",5,2,,
8/31/22 22:17,Lewis & Clark College,1,Yes,2,Maybe,4,Blue,Penguin,"9,577 Miles",3,1,,
8/31/22 22:23,Lewis & Clark College,2,Yes,4,Maybe,2,Blue,Sea Spider (Pycnogonida - google it),"9,184 miles",4,3,,
9/1/22 9:18,Lewis & Clark College,1,Yes,3,Yes,3,Blue,Penguin,More than 24 hours by flight,3,4,,
9/1/22 12:46,Lewis & Clark College,3,I can dog paddle,3,Yes,3,Orange,Sea Spider (Pycnogonida - google it),"9,432 mi",3,2,,
9/1/22 13:36,Lewis & Clark College,2,Yes,1,Yes,3,White,Penguin,any distance,5,5,,
9/1/22 13:50,Lewis & Clark College,5,Yes,2,Yes,1,Orange,Penguin,"9,311 mi",5,5,,
9/1/22 13:53,Lewis & Clark College,1,Yes,4,Yes,4,Black,Bear,"8,907 miles",3,3,,
9/1/22 14:08,Lewis & Clark College,2,I can dog paddle,2,Yes,4,,Seal,8606 miles,3,5,,
9/1/22 15:51,Lewis & Clark College,3,Yes,3,Yes,3,Black,Penguin,"8,606 miles",3,4,,
9/1/22 15:54,Lewis & Clark College,3,Yes,5,Yes,4,White,Penguin,7782 miles,4,2,,
9/1/22 16:17,Lewis & Clark College,2,Yes,3,Yes,2,Black,Sea Spider (Pycnogonida - google it),"9,684 miles",4,4,,
9/1/22 19:23,Lewis & Clark College,3,Yes,3,Yes,1,Black,Sea Spider (Pycnogonida - google it),6959.37 miles,4,4,,
9/1/22 19:41,Lewis & Clark College,5,Yes,4,Yes,5,Orange,Sea Spider (Pycnogonida - google it),"9,586.509 mi",4,3,,
9/2/22 9:08,Lewis & Clark College,2,Yes,2,Yes,3,Purple,Penguin,8684 miles or 13975.54 km,4,3,,
